homograph	wordid	sentence	start	end
abuse	abuse_nou	However, the stress encountered while recording Fun Terminal, drug abuse, alcoholism, and family commitments changed the scope of the band.	67	72
abuse	abuse_nou	"He promised that if elected he would create an office of internal affairs to investigate ""fraud, waste and abuse""."	107	112
abuse	abuse_nou	Victims of child abuse or rape should be allowed sufficient breaks as and when required during the testimony.	17	22
abuse	abuse_nou	Neighbours described the couple as deranged, both possibly mentally ill, and known for loudness and verbal abuse of their neighbours.	107	112
abuse	abuse_nou	"But I will reject abuse and all that it stands for,"" adding, ""."	18	23
abuse	abuse_nou	Disqualifying events include convictions for domestic violence and child abuse.	73	78
abuse	abuse_nou	Mr Burarrwanga's wider interests include Indigenous health, education and social issues, particularly substance abuse, domestic violence and family health.	112	117
abuse	abuse_nou	This valve is weakened by drug abuse.	31	36
abuse	abuse_nou	The Report of the National Commission on Marihuana and Drug Abuse.	60	65
abuse	abuse_nou	We didn't say 'We need a drug song or a child abuse song,' but when they fit, we used them.	46	51
abuse	abuse_nou	Later after much domestic abuse, his wife Rinki moved out in 1983, and the couple formally divorced in 1990.	26	31
abuse	abuse_nou	Bishop Louis Edward Gelineau was criticized for his management of sexual abuse allegations in the Providence Diocese.	73	78
abuse	abuse_nou	Thus this explanation deduced that similar abuse must have happened each time that the Bible uses the same language.	43	48
abuse	abuse_nou	Richardson realized the problem of smartphone abuse in classrooms as he was sitting in the back of a large lecture.	46	51
abuse	abuse_nou	It smashed taboos surrounding mental health, abuse, sexuality and religion with humor and optimism.	45	50
abuse	abuse_nou	On September 30, 2016, Gibbs was acquitted of all charges related to the sexual abuse allegations.	80	85
abuse	abuse_nou	They do not include other factors of disadvantage such as unemployment, race, sexual orientation or abuse.	100	105
abuse	abuse_nou	He also recommended that a program of compensation be established for the victims of sexual abuse at Kingsclear (see below).	92	97
abuse	abuse_nou	This led to abuse of drugs such as cocaine, which quickly escalated into addiction.	12	17
abuse	abuse_nou	"There were incidences of abuse, however, with one example having been recorded in the ""Records of Officialdom""."	25	30
abuse	abuse_nou	Such abuse was unlawful and unacceptable, Naidu said.	5	10
abuse	abuse_nou	In 2010, more than 16,000 deaths were attributed to abuse of opioid drugs.	52	57
abuse	abuse_nou	Three days later, police announced that a further seven people had come forward with allegations of abuse by Ball.	100	105
abuse	abuse_nou	In adoptive homes, child neglect and abuse and even divorce between the parents is uncommon.	37	42
abuse	abuse_nou	The settlement was the largest settlement ever awarded for a sexual abuse case in Quebec history.	68	73
abuse	abuse_nou	Barros has been accused of complicity in an abuse case there.	44	49
abuse	abuse_nou	Medical examinations revealed many fissures along Haru's leg bones, due to Fuji's habitual abuse.	91	96
abuse	abuse_nou	In the hearse with Charlie he discusses the abuse he has received from his wife.	44	49
abuse	abuse_nou	They also participate in events such as the World Elder Abuse Awareness Day.	56	61
abuse	abuse_nou	These claims are backed up by a swelling number of academic studies and insider accounts of misconduct and abuse.	107	112
abuse	abuse_nou	The bills are designed to protect children from the abuse of restraint and seclusion in school.	52	57
abuse	abuse_nou	This is how most partners adapt to verbal abuse.	42	47
abuse	abuse_nou	Despite periodic investigations, changes of leadership, and promises to improve, the allegations of cruelty and abuse continued.	112	117
abuse	abuse_nou	Gangsterism and drug abuse has increased and a number of informal settlements has sprung up in several areas.	21	26
abuse	abuse_nou	In 1934, the New York Parental School was investigated amid rumors of abuse.	70	75
abuse	abuse_nou	Compton, much like the rest of the nation, it troubled with drug abuse problems and street gang violence.	65	70
abuse	abuse_nou	"Milwaukee Journal Sentinel, ""Man recounts abuse by priests, says pope should be held accountable,"" 25 March 2010."	42	47
abuse	abuse_nou	Sexual abuse can happen because the female wants comfort, she has affiliation needs, she wants power, or sexual gratification.	7	12
abuse	abuse_nou	Ecological Risk Assessment: Use, Abuse, and Alternatives.	33	38
abuse	abuse_vrb	Marty can already tell how much Judd is going to abuse Shiloh.	49	54
abuse	abuse_vrb	Litigants, attorneys, law enforcement and judiciary can abuse the system, sometimes accidentally but more often intentionally.	56	61
abuse	abuse_vrb	In 2016, John found Skye in his house, learning that Carol continues to abuse Skye and allows her to stay.	72	77
abuse	abuse_vrb	"In ""Tante Sun"" satirize state official wives who abuse the authority of their husbands."	49	54
abuse	abuse_vrb	Richard suffers from poor health and is a recovering alcoholic, but Elizabeth continues to drink excessively and abuse prescription medication.	113	118
abuse	abuse_vrb	She stated in The Los Angeles Times that the relationship led her to abuse drugs, a claim Sambora denied.	69	74
abuse	abuse_vrb	Vaishnavi cited that Nitin used to physically abuse her, which forced her to opt for divorce.	46	51
abuse	abuse_vrb	"Frank Church Warns of How Easily Government Can Abuse Expanding Surveillance Capabilities""."	48	53
abuses	abuses_nou	Wolves Within the Fold: Religious Leadership and Abuses of Power.	49	55
abuses	abuses_nou	When the report was publicised, there was public outrage in Britain over the abuses.	77	83
abuses	abuses_nou	There were limited reports of societal abuses or discrimination based on religious belief or practice.	39	45
abuses	abuses_nou	According to researchers, pictures indicate the consent of the photographers to the abuses and murders committed.	84	90
abuses	abuses_nou	In the past, priests who committed abuses were removed by bishops, but bishops were rarely held accountable.	35	41
abuses	abuses_nou	Nonetheless, when government abuses against the leaders of the WFM seemed too egregious, Gompers relented and offered assistance.	29	35
abuses	abuses_nou	Upon release, he eventually headed a New Zealand commission of investigation into abuses at Sime Road Internment Camp.	82	88
abuses	abuses_nou	This early failure to correct abuses in his diocese did not discourage von Utenheim from reformist enterprises however.	30	36
abuses	abuses_nou	He again attacked abuses, agitated for reform, and in 1810 came sharply into collision with the House of Commons.	18	24
abuses	abuses_nou	After 1993, he became concerned about plaintiff attorney abuses of the Unfair Competition Law he had been instrumental in drafting.	57	63
abuses	abuses_nou	Among other abuses, this most obviously involves abuse of article 17 of the Universal Declaration of Human Rights.	12	18
abuses	abuses_nou	He and his UBOP squad were accused of serious human rights abuses within Kabardino-Balkaria, including of torture and murder.	59	65
abuses	abuses_nou	He has campaigned against abuses of the postal vote system and helped to bring about some reforms to it.	26	32
abuses	abuses_nou	"The 1979 Beach Inquiry found that the Armed Robbery Squad had committed ""abuses."	73	79
abuses	abuses_nou	NAWHERC has been active in reporting abuses in reproductive care and medication in the Native American community.	37	43
abuses	abuses_nou	As a result, sponsors may restrict workers' movements and workers may be afraid to report abuses or claim their rights.	90	96
abuses	abuses_nou	Many members of the Federal Police and the Army joined TCOs, and participated in abuses against the citizenry.	81	87
abuses	abuses_nou	The speech penned by Sallust for Memmius describes various abuses, and is used to argue that all monarchs are corrupt.	59	65
abuses	abuses_nou	The organization advocates for a federal inquiry/committee to investigate illegal, unethical and human rights abuses in adoption practice in Canada.	110	116
abuses	abuses_nou	It is tasked with investigating allegations of human rights abuses and journalist intimidation.	60	66
abuses	abuses_nou	The people needed more time for productive pursuits while correcting social abuses of the past.	76	82
abuses	abuses_nou	For example, a World Rainforest Movement report documents land disputes and human rights abuses at Mount Elgon.	89	95
abuses	abuses_nou	Only about 25 per cent of these women are said to have survived these daily abuses.'	76	82
abuses	abuses_nou	Once in office, Garrison cracked down on prostitution and the abuses of Bourbon Street bars and strip joints.	62	68
abuses	abuses_nou	Lawlessness during wars and civil conflicts can create a culture of impunity towards human rights abuses of civilians.	98	104
abuses	abuses_nou	If you cannot permit abuses, you must at least tolerate them.	21	27
abuses	abuses_nou	In contrast, the humanitarian movement thought reform essential to remove abuses.	74	80
abuses	abuses_nou	Canada became an outspoken critic of the Taliban's human rights abuses against the citizens of Afghanistan.	64	70
abuses	abuses_nou	In June 2015, Grassley introduced legislation to help protect taxpayers from alleged abuses by the Internal Revenue Service.	85	91
abuses	abuses_nou	There were few reports of societal abuses or discrimination based on religious belief or practice.	35	41
abuses	abuses_nou	He was elected to the colony's assembly and spoke out against governmental abuses.	75	81
abuses	abuses_nou	In recent years, state legislatures have passed new laws aimed at eliminating the worst abuses at puppy mills.	88	94
abuses	abuses_nou	The abuses occur not only on the street but also in schools.	4	10
abuses	abuses_nou	Reported abuses of human rights in Tibet include restricted freedom of religion, belief, and association.	9	15
abuses	abuses_nou	Human rights abuses in Jammu and Kashmir, a disputed territory administered by India, are an ongoing issue.	13	19
abuses	abuses_nou	She previously worked for Amnesty International, where she was in charge of their investigations into Human Rights abuses in Iraq.	115	121
abuses	abuses_nou	In September 1661, he was the head of a commission to inquire into the abuses in the post office.	71	77
abuses	abuses_nou	They travel to Uruk to confront Gilgamesh and stop his abuses.	55	61
abuses	abuses_nou	Abuses of electronic surveillance by the federal government such as Project SHAMROCK led to reform legislation in the 1970s.	0	6
abuses	abuses_nou	But there was nothing prudish about their concerted opposition to civil rights abuses.	79	85
abuses	abuses_nou	"The anarcho-syndicalist periodical Solidaridad Obrera reported that: ""Certain abuses have been committed that we consider counterproductive."	78	84
abuses	abuses_nou	Declamation on abuses introduced into the Castilian, presented and awarded at the Spanish Academy, 1791.	15	21
abuses	abuses_nou	He had become known as someone who would stand up to abuses of power in the European officialdom.	53	59
abuses	abuses_nou	There were reports of societal abuses based on religious affiliation, belief, or practice.	31	37
abuses	abuses_nou	Owing to abuses a Public Inquiry was held in 1938 and the Urban Council dissolved.	9	15
abuses	abuses_nou	In 1274, Kublai appointed Lian Xixian to investigate abuses of power by Mongol appanage holders in Manchuria.	53	59
abuses	abuses_nou	The specific purposes of the shortwave radio program are:- Helping victims of oppressions, labor abuses, corruptions, etc.	97	103
abuses	abuses_nou	Police routinely investigated such allegations, which rarely resulted in punishment (see section 5 Other Societal Abuses and Discrimination).	114	120
abuses	abuses_nou	The US government received no reports of societal abuses or discrimination based on religious belief or practice.	50	56
abuses	abuses_nou	According to the U.S. State Department, major human rights abuses occur in the country.	59	65
abuses	abuses_nou	There are also abuses of media rights and access.	15	21
abuses	abuses_nou	The pope or his legate, however, took no steps to remove abuses or otherwise reform the Scandinavian churches.	57	63
abuses	abuses_nou	Chinese Human Rights Defenders, Re-education through Labor Abuses Continue Unabated: Overhaul Long Overdue, 4 February 2009.	59	65
abuses	abuses_nou	Broken Shield, a series of investigations into police failures and abuses.	67	73
abuses	abuses_nou	During the year the government conducted some trials for abuses committed in the context of internal conflicts in the east.	57	63
abuses	abuses_nou	Various objections to the witch hunts were raised on the basis of their abuses of the law.	72	78
abuses	abuses_nou	He has focused on how multinational corporations operate in foreign countries, documenting human rights and environmental abuses.	122	128
abuses	abuses_nou	This is a term coined in missiological circles describing some of the abuses and failures in the mission field.	70	76
abuses	abuses_nou	Meanwhile, the minimum wage remains well below that on the U.S. mainland, and abuses of vulnerable workers are commonplace.	78	84
abuses	abuses_nou	The society's goals were to oppose superstition, obscurantism, religious influence over public life and abuses of state power.	104	110
abuses	abuses_nou	It was dismantled in 1958 after the Party Congress that discussed his abuses.	70	76
abuses	abuses_nou	An Online Complaint Center for consumers to report privacy abuses and request information on ways to protect their privacy.	59	65
abuses	abuses_nou	Some groups are especially vulnerable to human rights abuses collateral to drug law enforcement.	54	60
abuses	abuses_nou	The commission documents abuses by the Forces Armée Rwandaise (FAR), which included both the national police and the military.	25	31
abuses	abuses_nou	"It also said that many abuses were deliberately misreported as ""accidents""."	23	29
abuses	abuses_nou	All the slain journalists were investigating controversial issues within Honduran society, including corruption, drug trafficking and human rights abuses.	147	153
abuses	abuses_vrb	Tension arises in their marriage as Jake continually upbraids and abuses Gitl, despite her efforts to assimilate.	66	72
abuses	abuses_vrb	Throughout the novel, Rowdy's father abuses him, which leads to his bully-like behavior.	37	43
abuses	abuses_vrb	Lyrically the track is written about a failing relationship caused by a lover who abuses alcohol.	82	88
abuses	abuses_vrb	The unfaithful duo, on their success, abuses Chandni to which Rahul fights with them and begins enmity with Harry.	38	44
abuses	abuses_vrb	He is married and abuses his wife regularly, leading to her losing touch with reality.	18	24
abuses	abuses_vrb	His father abuses him, causing him to act the way he does at school.	11	17
abuses	abuses_vrb	Ruby verbally abuses Colin and he slaps her.	14	20
abuses	abuses_vrb	Images are stored on ImageShack indefinitely unless the image or the user who uploaded it abuses the Terms of Service.	90	96
abuses	abuses_vrb	He blames Shera for the incident as he does not believe her concerns were justified, and verbally abuses her.	98	104
abuses	abuses_vrb	While the Chipmunks like Samantha, her son Miles is a bully who physically abuses the trio.	75	81
abuses	abuses_vrb	Eddie abuses alcohol and cocaine, causing him to miss rehearsals and performances as well as losing his girlfriend.	6	12
abuses	abuses_vrb	She abuses Frado both physically and mentally.	4	10
abuses	abuses_vrb	Instead, he finds that the Ultor Corporation abuses the workers and forces them to endure hazardous living conditions.	45	51
abuses	abuses_vrb	He cruelly abuses her, as Cathy's marriage to Edgar continues to torment him.	11	17
advocate	advocate_nou	She is a noteworthy member of the disabled community as a fierce advocate for equal rights for individuals with disabilities.	65	73
advocate	advocate_nou	Lyddiard has always been a strong advocate of an internationalisation of the UK theatre scene.	34	42
advocate	advocate_nou	Susan Eisenhower, former president and chairman emeritus of the Eisenhower Institute, was a particular advocate of the concept.	103	111
advocate	advocate_nou	Bird was an advocate for equality, and sought to reform the race-based exclusion laws in Canada.	12	20
advocate	advocate_nou	Advocate reports on closure of case on Timur Kuashev's death.	0	8
advocate	advocate_nou	Antiguans have seen Mr. Clapton transform from addict to advocate of possibly the next Betty Ford of the century.	57	65
advocate	advocate_nou	He was reappointed as the Judge Advocate General in 1952 and 1956.	32	40
advocate	advocate_nou	Prior to entering politics she was a youth advocate.	43	51
advocate	advocate_nou	In the years since his diagnosis was made public, Louganis has been an outspoken HIV awareness advocate.	95	103
advocate	advocate_nou	An advocate is a person who argues for or supports a cause or policy.	3	11
advocate	advocate_nou	He was also an early advocate of the benefits of regularly drinking water throughout the day.	21	29
advocate	advocate_nou	After obtaining a good education he became an Advocate in Paris.	46	54
advocate	advocate_nou	Advocate P.M.A. Salam won the Kozhikode 2 with highest margin of the constituency in HIstory.	0	8
advocate	advocate_nou	In 1997, he was profiled by the New York Times as an influential advocate of responsible online advertising.	65	73
advocate	advocate_nou	In 1969 the newspaper was renamed The Advocate and distributed nationally.	38	46
advocate	advocate_nou	After leaving HADITU, ash-Shafi became an active advocate for greater unity in the Egyptian communist movement.	49	57
advocate	advocate_nou	By her Ferguson had a daughter, who in 1730 married M. Gerard Vink, advocate, 's-Hertogenbosch.	68	76
advocate	advocate_nou	Originally built in 1930, Gregory Gymnasium was named after its main advocate and planner, Thomas Watt Gregory.	69	77
advocate	advocate_nou	Rohrbach was an advocate of eradicating native Africans in order to make room for German colonists.	16	24
advocate	advocate_nou	Transgender advocate Norrie May-Welby was recognized as having unspecified status in 2014.	12	20
advocate	advocate_nou	Elliott Blackstone, sergeant of the San Francisco Police Department and longtime advocate for LGBT rights, was born here.	81	89
advocate	advocate_nou	She is an advocate for art and education.	10	18
advocate	advocate_nou	He ran on his credentials as a housing advocate in the Mission District.	39	47
advocate	advocate_nou	He became an advocate in 1948 and served as an Advocate Depute from 1955.	13	21
advocate	advocate_nou	She now works as an advocate fostering understanding for survivors of burns or other disfigurements.	20	28
advocate	advocate_nou	He was also an early advocate of organic gardening.	21	29
advocate	advocate_nou	After the raid of Hogwarts in Half-Blood Prince, Sprout is a staunch advocate of keeping Hogwarts open.	69	77
advocate	advocate_nou	He also was a good government advocate, supporting election law reform, conflict of interest laws, and legislative reapportionment.	30	38
advocate	advocate_nou	Muloki was a strong advocate for the Girl Child Education programmes, and various other programmes in Busoga.	20	28
advocate	advocate_nou	"At Microsoft, Hedrick was a prominent advocate of bridging the ""digital divide."""	38	46
advocate	advocate_nou	Through 1895 and early 1896, Bryan sought to make himself as widely known as an advocate for silver as possible.	80	88
advocate	advocate_nou	Kitt later became a vocal advocate for LGBT rights and publicly supported same-sex marriage, which she considered a civil right.	26	34
advocate	advocate_nou	He was also an advocate of vegetarianism and abstinence.	15	23
advocate	advocate_nou	He is a vegetarian and an advocate of animal rights.	26	34
advocate	advocate_nou	An outspoken advocate of slavery as an institution, Bowles was sympathetic to the South during the American Civil War.	13	21
advocate	advocate_nou	Juan Gonzales considers the paper as an advocate for the continuation of the quest for Latino Civil Rights.	40	48
advocate	advocate_nou	AnnMarie Thomas is a Mechanical Engineer, author, blogger, and advocate for early engineering education.	63	71
advocate	advocate_nou	The highest level is the Senior Advocate Supreme Court.	32	40
advocate	advocate_nou	He is the son of Deepak Juyal, an advocate & Alka Bakshi Juyal.	34	42
advocate	advocate_nou	The Erin Advocate also publishes the monthly Country Routes paper distributed to surrounding areas.	9	17
advocate	advocate_nou	Since then, she has become a global advocate in the fight against sexual violence.	36	44
advocate	advocate_nou	She has been a staunch advocate of the anti-discrimination bill.	23	31
advocate	advocate_nou	However, apart from Germany, one does not necessarily have to be an advocate to practice law.	68	76
advocate	advocate_nou	The prosecution was not conducted by the judge-advocate.	47	55
advocate	advocate_nou	Eric was a keen advocate of human rights and the separation of church and state.	16	24
advocate	advocate_nou	Currently she works in the Developer Advocate team at Dropbox.	37	45
advocate	advocate_nou	Greek pianist Danae Kara is a superb advocate in these first-recorded performances.	37	45
advocate	advocate_nou	Prior to becoming a teacher, he worked as a constituent advocate for the late U.S. Senator Paul Wellstone.	56	64
advocate	advocate_nou	Shashank's younger brother Sunil Manohar has also served as the Advocate General of Maharashtra.	64	72
advocate	advocate_nou	She is a popular speaker as well as an advocate for peace and children of war.	39	47
advocate	advocate_nou	The Daily Times-Advocate, also called the Escondido Times-Advocate, was a daily newspaper published in Escondido, California.	16	24
advocate	advocate_nou	Kilmer is a supporter of Native American affairs and an advocate of environmental protection.	56	64
advocate	advocate_nou	Luckenbach was also a strong advocate of Federal control of shipping rates.	29	37
advocate	advocate_nou	Hedgeman was a major advocate for both minorities and the poor in New York City.	21	29
advocate	advocate_nou	His libertarian bent prevented him from pursuing a direct suit against Philip Morris, but he did become an anti-smoking advocate.	120	128
advocate	advocate_nou	He returned to Cape Colony in 1895 and was admitted as an advocate.	58	66
advocate	advocate_nou	As a pioneer advocate of democracy in the land of okpe, he also was pivotal to Nigeria.	13	21
advocate	advocate_nou	In 1879 he was admitted as an advocate/barrister in Ghent.	30	38
advocate	advocate_nou	He was Advocate General of Uttar Pradesh, India from 1952 to 1969.	7	15
advocate	advocate_nou	Kuchik Khan's second-in-command, Ehsanollah Khan Dustdar, had become a communist and an ardent advocate of an alliance with the Bolsheviks.	95	103
advocate	advocate_nou	Prasad was a senior advocate at Patna High Court.	20	28
advocate	advocate_nou	He held the part-time statutory appointment as Defence Force Advocate between 1993 and 1995.	61	69
advocate	advocate_nou	Human rights advocate Samantha Power was the inaugural appointee in 2006.	13	21
advocate	advocate_nou	He was a teetotaling vegetarian, an early advocate of nature cures, and a longtime member of the National Anti-Vaccination League.	42	50
advocate	advocate_nou	World's Worst Mom is hosted by columnist and Free Range Kids advocate, Lenore Skenazy.	61	69
advocate	advocate_nou	He is an Advocate & Solicitor of the High Court in Malaya and High Court in Sabah and Sarawak.	9	17
advocate	advocate_vrb	"Democrats call for ""affordable and quality health care,"" and many advocate an expansion of government intervention in this area."	66	74
advocate	advocate_vrb	Certain right-wing localist groups also advocate for a more aggressive and militant approach in defending Hong Kong people's interests.	40	48
advocate	advocate_vrb	Heaviside did much to develop and advocate vector methods and the vector calculus.	34	42
advocate	advocate_vrb	The main goal of the organisation is to advocate against pseudoscience, astrology and mysticism.	40	48
advocate	advocate_vrb	He tweeted the party would advocate a 'pro Europe', 'pro developing world' and 'against military adventurism' stance.	27	35
advocate	advocate_vrb	"But with fundamentalism on the rise, progressive interpretations of scripture are dangerous to advocate."""	95	103
advocate	advocate_vrb	Beginning in the 1860s sportsmen began to organize and advocate for the preservation of wilderness areas and wildlife.	55	63
advocate	advocate_vrb	Calderhead was willing to travel extensively to advocate for suffrage.	48	56
advocate	advocate_vrb	But the institute does not specifically advocate potential solutions to public problems, Climer added.	40	48
advocate	advocate_vrb	There is no way that I would approve or advocate for the monitoring of students at home.	40	48
advocate	advocate_vrb	Ferber does not advocate simply leaving a baby to cry.	16	24
advocate	advocate_vrb	Autua confronts Ewing and convinces him to advocate for Autua to join the crew as a free man.	43	51
advocate	advocate_vrb	Hamlin was among the first to advocate enlisting African-American troops in the Union Army.	30	38
advocate	advocate_vrb	Theorists such as Carne Ross advocate deliberative democracy as a complete alternative to representative democracy.	29	37
affect	affect	This is based on research that suggests that a single individual can significantly affect a group.	83	89
affect	affect	"This will affect international recognitions because the crisis weakens the position of Kosovo."""	10	16
affect	affect	His parents were resistant as they were afraid that he will not study and this will affect his life negatively.	84	90
affect	affect	Particle size and distribution will affect a soil's capacity for holding water and nutrients.	36	42
affect	affect	Wind, temperature, and humidity also affect the rate of volatilisation with humidity reducing in.	37	43
affect	affect	It causes intellectual disability and congenital malformations that affect a variety of organ systems.	68	74
affect	affect	The illness starts to seriously affect Sarah's fast paced job as a consultant in the Emergency Department.	32	38
affect	affect	During the Second World War, by 1943, shortages in food and resources begin to affect all warring nations.	79	85
affect	affect	Generally, these relate to matters that may affect the performance of the judicial officer concerned.	44	50
affect	affect	Oysters and aquaculture affect eelgrass density and productivity in a pacific northwest estuary.	24	30
affect	affect	In traumatic subarachnoid hemorrhage, nimodipine does not affect long-term outcome, and is not recommended.	58	64
affect	affect	Alpha and beta radiation have low penetrating power and are unlikely to affect vital internal organs from outside the body.	72	78
affect	affect	"For emunah to affect him in this way he needs study and contemplation."""	14	20
affect	affect	If a decision could affect an entire industry, companies other than the litigants may wish to have their concerns heard.	20	26
affect	affect	These forms of the virus can cause human illness but generally do not affect equine health.	70	76
affect	affect	Dominion also reported that the aftershocks did not affect the power plant.	52	58
affect	affect	Note that the synchronization of the chronometer on GMT did not affect shipboard time itself, which was still solar time.	64	70
affect	affect	However this change was taken by Yuri Levada as an attempt to affect the outcomes of VTsIOM studies.	62	68
affect	affect	They do not affect those sources that release mercury incidentally as a by-product.	12	18
affect	affect	Germ cell tumor is a rare cancer that can affect people at all ages.	42	48
affect	affect	Climate change could affect ticks in a variety of ways.	21	27
affect	affect	The general or special rules cannot affect this question, though they may apply when it is determined.	36	42
affect	affect	Prevention and mitigation of wildlife fatalities, and protection of peat bogs, affect the siting and operation of wind turbines.	79	85
affect	affect	How does being unaware of having Jewish parents affect one's Jewish status?	48	54
affect	affect	In states with inclusive Medicaid policies and small immigrant population, immigration does not affect the participation gap.	96	102
affect	affect	It is unclear if these devices affect the amount of physical activity children engage in.	31	37
affect	affect	When sleep deprived, the metabolic system will be out of balance, which will ultimately affect the dietary choices people make.	88	94
affect	affect	Batteries and other components that degrade over time may affect the operation of a product.	58	64
affect	affect	The Army Corps of Engineers operates 13 such dams, which affect flows from about 40 percent of the basin.	57	63
affect	affect	The large forest reserves favourably affect the climate and induce rains.	37	43
affect	affect	However, many other factors also affect intelligence.	33	39
affect	affect	Therefore, signals from an interval approximately into the future affect the acceleration in the present.	66	72
affect	affect	The duration of the stimulation leading up to the ejaculation can affect the volume.	66	72
affect	affect	Genetic polymorphisms that affect this enzymatic activity are correlated with variations in sensitivity and toxicity to such drugs within individuals.	27	33
affect	affect	Their bearing, deportment, and behavior, both individually and collectively, will affect the return of their privileges.	82	88
affect	affect	The Court ruled that the book does not adversely affect Cabuli's work or his reputation in South America.	49	55
affect	affect	The resulting voltage difference can affect electrical equipment, change surface chemistry, erode surfaces and levitate Lunar dust.	37	43
affect	affect	Engagement is complex because a variety of exposure and relationship factors affect engagement, making simplified rankings misleading.	77	83
affect	affect	"Dog fluDog flu (or ""canine influenza"") refers to varieties of influenza A virus that affect dogs."	85	91
affect	affect	It is arguable how such a reduction in size would affect the Bundeswehr's capabilities.	50	56
affect	affect	The black flies are mainly local and typically only affect artificial nest boxes.	52	58
affect	affect	One line of research that Saad has been exploring is how hormones affect consumers and the decisions they make.	66	72
affect	affect	In India, religious beliefs commonly affect the diet: some patients are vegetarians, will not eat root vegetables or avoid beef.	37	43
affect	affect	Other factors such as saccadic eye movements and the linear relationship between letters also affect the way we recognize words.	94	100
affect	affect	These restrictions do not affect the part of Kaiser-Joseph-Strasse which is located south of Martinstor.	26	32
affect	affect	It also does not always affect the entire body.	24	30
affect	affect	Narratology is the study of narrative and narrative structure and the ways that these affect our perception.	86	92
affect	affect	Additionally, other psychological constructs suggest further limits on how context can affect memory.	87	93
affect	affect	This does not affect movie distribution via physical tapes or discs, cable TV, or the Internet.	14	20
affect	affect	Player actions in one universe affect events in the other two.	31	37
affect	affect	Hughes' demotion did not affect his batting, however.	25	31
affect	affect	This illustrates how differences in environmental conditions can significantly affect bullet flight.	79	85
affect	affect	IF does not affect the handling of non-maskable interrupts or software interrupts generated by the INT instruction.	12	18
affect	affect	The attacks also affect the limbs, usually unilaterally, but bilateral symptoms have also been experienced.	17	23
affect	affect	The scientific evidence shows that low frequency noise does affect brain activity and can severely affect people's sleep patterns.	99	105
affect	affect	Every producer of nautical publications also provides a system to inform mariners of changes that affect the chart.	98	104
affect	affect	It has the power to affect people deeply.	20	26
